gender,category,total_price
Female,Books,132956.39896774292
Male,Books,94020.89918708801
Female,Clothing,1.8616662791503906E7
Male,Clothing,1.2459021304107666E7
Female,Cosmetics,1108432.2698249817
Male,Cosmetics,740174.64661026
Female,Food & Beverage,137873.25881958008
Male,Food & Beverage,93695.44917297363
Female,Shoes,1.0746644003173828E7
Male,Shoes,7388692.861694336
Female,Souvenir,105288.47813034058
Male,Souvenir,69148.34884643555
Female,Technology,9425850.0
Male,Technology,6346200.0
Female,Toys,658094.0734519958
Male,Toys,428610.55571365356
